year_week|min_trip_time|max_trip_time|mean_trip_time|min_trip_distance|max_trip_distance|mean_trip_distance|min_trip_amount|max_trip_amount|mean_trip_amount|total_services|percentage_variation
2022-001|60.0|103391.0|820.36|0.01|254.88|3.38|0.3|688.35|19.23|487607|
2022-002|60.0|160771.0|829.84|0.01|252.04|3.02|0.3|662.85|18.44|534379|9.59
2022-003|60.0|161177.0|851.33|0.01|257.7|3.05|0.3|683.1|18.62|560228|4.84
2022-004|60.0|257044.0|897.09|0.01|184.69|2.92|0.3|899.68|18.65|519787|-7.22
2022-005|60.0|473450.0|939.94|0.01|248.5|2.99|0.3|600.3|19.06|637660|22.68
2022-006|60.0|161528.0|948.25|0.01|114.7|3.02|0.3|464.85|19.13|687936|7.88
2022-007|60.0|177049.0|937.75|0.01|160.02|3.11|0.3|448.97|19.35|713176|3.67
2022-008|60.0|86576.0|942.93|0.01|132.9|3.33|0.3|649.6|19.94|708533|-0.65
2022-009|60.0|316323.0|968.06|0.01|363.67|3.27|0.3|1783.85|20.02|753359|6.33
2022-010|60.0|167640.0|969.89|0.01|146.1|3.29|0.3|760.55|20.22|753292|-0.01
2022-011|60.0|155692.0|1020.14|0.01|244.61|3.52|0.3|1228.95|21.0|738523|-1.96
2022-012|60.0|482262.0|968.69|0.01|304.3|3.45|0.3|812.87|20.53|761892|3.16
2022-013|60.0|86390.0|970.45|0.01|181.21|3.3|0.3|597.85|20.34|337192|-55.74
2022-052|60.0|86373.0|883.89|0.01|81.48|4.14|0.3|477.45|21.62|112728|-66.57
